company,rating,headquarters,salary estimate,job type,size,type,sector,revenue
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
MadKudu,5.0,"Mountain View, CA",119.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Jobot,4.8,"San Francisco, CA",128.5,Full-time,51 to 200 employees,company - private,business services,$50 to $100 million (usd)
KPMG,3.9,"San Francisco, CA",124.5,Full-time,10000+ employees,company - private,business services,$1 to $2 billion (usd)
Amazon,3.8,"San Francisco, CA",144.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Udemy,4.7,"San Francisco, CA",144.0,Full-time,501 to 1000 employees,company - private,education,unknown / non-applicable
Verb Surgical,3.5,"Mountain View, CA",114.5,Full-time,201 to 500 employees,company - private,health care,unknown / non-applicable
Blue Owl,4.8,"San Francisco, CA",161.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable
Innoplexus,3.9,"San Francisco, CA",155.0,Full-time,201 to 500 employees,company - private,business services,$1 to $5 million (usd)
Shoe Palace Corporation,3.3,"Morgan Hill, CA",116.5,Full-time,1001 to 5000 employees,company - private,retail,$25 to $50 million (usd)
CaaStle,3.5,"Mountain View, CA",128.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
SupportLogic,5.0,"Santa Clara, CA",99.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",159.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
eHealth,3.7,"Santa Clara, CA",135.0,Full-time,1001 to 5000 employees,company - public,insurance,$100 to $500 million (usd)
Facebook,4.3,"Menlo Park, CA",160.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
University of California San Francisco,4.2,"San Francisco, CA",157.0,Full-time,10000+ employees,college / university,education,$25 to $50 million (usd)
Faire,4.7,"San Francisco, CA",119.0,Full-time,201 to 500 employees,company - private,business services,unknown / non-applicable
CPP Investments,3.6,"San Francisco, CA",153.5,Full-time,1001 to 5000 employees,self-employed,finance,$10+ billion (usd)
Snapchat,4.1,"San Francisco, CA",151.0,Full-time,1001 to 5000 employees,company - public,information technology,unknown / non-applicable
Thermo Fisher Scientific,3.8,"South San Francisco, CA",112.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Facebook,4.3,"Menlo Park, CA",153.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
University of California San Francisco,4.2,"San Francisco, CA",76.0,Full-time,10000+ employees,college / university,education,$25 to $50 million (usd)
Galvanize,4.6,"San Francisco, CA",93.0,Part-time,201 to 500 employees,company - private,education,unknown / non-applicable
Dell Technologies,4.2,"San Francisco, CA",103.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Facebook,4.3,"San Francisco, CA",152.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
SupportLogic,5.0,"Santa Clara, CA",99.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Amazon,3.8,"Sunnyvale, CA",138.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Fanatics,3.9,"San Mateo, CA",187.0,Full-time,5001 to 10000 employees,company - private,information technology,$1 to $2 billion (usd)
Uber,4.0,"San Francisco, CA",162.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Snapchat,4.1,"San Francisco, CA",159.5,Full-time,1001 to 5000 employees,company - public,information technology,unknown / non-applicable
Snapchat,4.1,"San Francisco, CA",154.5,Full-time,1001 to 5000 employees,company - public,information technology,unknown / non-applicable
IBM,3.9,"San Jose, CA",142.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
NotCo,3.6,"San Francisco, CA",90.0,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,$25 to $50 million (usd)
FocusKPI Inc.,3.3,"Santa Clara, CA",133.0,Full-time,51 to 200 employees,company - private,business services,less than $1 million (usd)
Levi Strauss & Co.,4.1,"San Francisco, CA",100.5,Part-time,10000+ employees,company - public,retail,$2 to $5 billion (usd)
Walmart,3.4,"San Bruno, CA",139.5,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
Facebook,4.3,"Menlo Park, CA",160.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Samsung SDS America,3.5,"San Jose, CA",137.0,Full-time,1001 to 5000 employees,subsidiary or business segment,information technology,$10+ billion (usd)
Salesforce,4.5,"San Francisco, CA",154.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Collective Health,3.8,"San Francisco, CA",156.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Facebook,4.3,"San Francisco, CA",112.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Pinterest,4.2,"San Francisco, CA",198.0,Full-time,1001 to 5000 employees,company - public,information technology,$100 to $500 million (usd)
Freenome,4.9,"San Francisco, CA",157.5,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Faire,4.7,"San Francisco, CA",119.0,Full-time,201 to 500 employees,company - private,business services,unknown / non-applicable
Pendulum.co,4.3,"San Francisco, CA",146.5,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Workday,4.3,"Pleasanton, CA",161.5,Full-time,10000+ employees,company - public,information technology,$2 to $5 billion (usd)
Pinterest,4.2,"San Francisco, CA",198.0,Full-time,1001 to 5000 employees,company - public,information technology,$100 to $500 million (usd)
Collective Health,3.8,"San Francisco, CA",156.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Pendulum.co,4.3,"San Francisco, CA",146.5,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Faire,4.7,"San Francisco, CA",119.0,Full-time,201 to 500 employees,company - private,business services,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",156.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Xerox,3.3,"Palo Alto, CA",119.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Blue Owl,4.8,"San Francisco, CA",150.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable
Levi Strauss & Co.,4.1,"San Francisco, CA",129.5,Part-time,10000+ employees,company - public,retail,$2 to $5 billion (usd)
Kaiser Permanente,4.0,"Pleasanton, CA",153.0,Full-time,10000+ employees,nonprofit organization,health care,$10+ billion (usd)
Samsung Electronics America,3.5,"Mountain View, CA",133.0,Full-time,1001 to 5000 employees,subsidiary or business segment,information technology,$10+ billion (usd)
Ursus,4.4,"Menlo Park, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
GSK,3.8,"San Francisco, CA",129.0,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Amazon,3.8,"Palo Alto, CA",149.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Snapchat,4.1,"Mountain View, CA",167.5,Full-time,1001 to 5000 employees,company - public,information technology,unknown / non-applicable
Fanatics Inc.,3.9,"San Mateo, CA",158.0,Full-time,5001 to 10000 employees,company - private,information technology,$1 to $2 billion (usd)
UC San Francisco Academic,4.2,"San Francisco, CA",77.5,Full-time,10000+ employees,college / university,education,$25 to $50 million (usd)
CircleCI,3.7,"San Francisco, CA",147.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Punchh,4.1,"San Mateo, CA",151.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Riiid Labs,5.0,"San Ramon, CA",138.5,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Spartan Technologies,3.0,"San Francisco, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,$5 to $10 million (usd)
Adobe,4.4,"San Jose, CA",194.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
Blue Owl,4.8,"San Francisco, CA",150.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable
Walmart,3.4,"Sunnyvale, CA",146.5,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
Uber,4.0,"San Francisco, CA",170.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Fluence,2.5,"San Francisco, CA",177.5,Full-time,201 to 500 employees,company - private,"oil, gas, energy & utilities",$100 to $500 million (usd)
Walmart,3.4,"Sunnyvale, CA",127.0,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
Sitecore,3.7,"San Francisco, CA",133.0,Full-time,501 to 1000 employees,company - private,information technology,$50 to $100 million (usd)
Tapjoy,3.6,"San Francisco, CA",111.0,Full-time,201 to 500 employees,company - private,information technology,$10 to $25 million (usd)
Walmart,3.4,"Sunnyvale, CA",127.0,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
Fluence,2.5,"San Francisco, CA",177.5,Full-time,201 to 500 employees,company - private,"oil, gas, energy & utilities",$100 to $500 million (usd)
Pendulum.co,4.3,"San Francisco, CA",137.5,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Sitecore,3.7,"San Francisco, CA",133.0,Full-time,501 to 1000 employees,company - private,information technology,$50 to $100 million (usd)
JD.com,3.6,"Mountain View, CA",119.5,Full-time,5001 to 10000 employees,company - public,retail,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Sisu,4.1,"San Francisco, CA",146.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
RELX Group,3.1,"San Jose, CA",125.0,Full-time,1001 to 5000 employees,subsidiary or business segment,business services,$1 to $2 billion (usd)
Kodiak Robotics,4.5,"Mountain View, CA",187.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Splunk,4.2,"San Francisco, CA",165.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
Capgemini,3.8,"San Francisco, CA",111.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Health at Scale Corporation,4.1,"San Jose, CA",134.0,Full-time,1 to 50 employees,company - public,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",155.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
HopHR,4.1,"San Francisco, CA",157.5,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
Uber,4.0,"San Francisco, CA",170.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
First Republic Bank,4.3,"San Francisco, CA",112.5,Full-time,1001 to 5000 employees,company - public,finance,$10+ billion (usd)
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
University of California San Francisco,4.2,"San Francisco, CA",78.5,Full-time,10000+ employees,college / university,education,$25 to $50 million (usd)
FICO,3.9,"San Jose, CA",136.0,Full-time,1001 to 5000 employees,company - public,information technology,$500 million to $1 billion (usd)
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Coherus BioSciences,4.5,"Redwood City, CA",166.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$100 to $500 million (usd)
Roche,4.3,"South San Francisco, CA",142.0,Full-time,5001 to 10000 employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Twitch,3.8,"San Francisco, CA",144.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Onto Innovation,3.6,"Milpitas, CA",133.0,Full-time,1001 to 5000 employees,company - public,manufacturing,unknown / non-applicable
Omniscience,2.3,"Palo Alto, CA",151.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
McDonald's Corporate,3.5,"Mountain View, CA",138.5,Full-time,10000+ employees,company - public,"restaurants, bars & food services",$10+ billion (usd)
McDonald's Corporate,3.5,"Mountain View, CA",112.5,Full-time,10000+ employees,company - public,"restaurants, bars & food services",$10+ billion (usd)
First Republic Bank,4.3,"San Francisco, CA",116.0,Full-time,1001 to 5000 employees,company - public,finance,$10+ billion (usd)
Roblox,4.4,"San Mateo, CA",141.5,Full-time,501 to 1000 employees,company - public,information technology,unknown / non-applicable
JLL,3.9,"San Francisco, CA",137.0,Full-time,10000+ employees,company - public,real estate,$5 to $10 billion (usd)
Oportun. Inc,4.2,"San Carlos, CA",152.0,Full-time,1001 to 5000 employees,company - public,finance,unknown / non-applicable
Wish,3.4,"San Francisco, CA",153.5,Full-time,501 to 1000 employees,company - public,retail,$1 to $2 billion (usd)
LaBine and Associates,5.0,"San Francisco, CA",88.5,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
UnifyID,4.2,"Redwood City, CA",140.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Ericsson-Worldwide,4.0,"Santa Clara, CA",157.5,Full-time,10000+ employees,company - public,telecommunications,$10+ billion (usd)
Tempus Labs,3.2,"Redwood City, CA",114.5,Full-time,501 to 1000 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Amazon,3.8,"East Palo Alto, CA",161.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Agama Solutions,3.7,"San Francisco, CA",134.0,Full-time,51 to 200 employees,contract,information technology,$10 to $25 million (usd)
GSN Games,3.3,"San Francisco, CA",168.5,Contract,201 to 500 employees,company - private,media,unknown / non-applicable
"TuSimple, Inc.",4.4,"San Francisco, CA",139.0,Full-time,201 to 500 employees,company - public,information technology,unknown / non-applicable
Synapse Financial Technologies Inc,3.8,"San Francisco, CA",116.0,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
Uber,4.0,"Sunnyvale, CA",146.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Carbon Health,4.2,"San Francisco, CA",118.5,Part-time,501 to 1000 employees,company - private,health care,unknown / non-applicable
Aurora Innovation,4.0,"Mountain View, CA",126.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Wells Fargo,3.6,"San Francisco, CA",149.0,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
Rivian Automotive,4.3,"Palo Alto, CA",153.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
Penumbra US,3.9,"Alameda, CA",142.0,Full-time,1001 to 5000 employees,company - public,health care,$100 to $500 million (usd)
Nuna,4.0,"San Francisco, CA",107.5,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Tiger Analytics,4.4,"San Francisco, CA",151.0,Full-time,501 to 1000 employees,company - private,business services,$10 to $25 million (usd)
Synopsys,4.1,"Mountain View, CA",119.5,Full-time,10000+ employees,company - public,information technology,$2 to $5 billion (usd)
Facebook,4.3,"San Francisco, CA",153.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Nova Measuring Instruments,3.8,"Fremont, CA",128.5,Full-time,501 to 1000 employees,company - public,manufacturing,$100 to $500 million (usd)
PubMatic,4.2,"Redwood City, CA",162.0,Full-time,501 to 1000 employees,company - public,information technology,$50 to $100 million (usd)
Woodruff Sawyer,4.0,"San Francisco, CA",162.5,Full-time,201 to 500 employees,company - private,insurance,$100 to $500 million (usd)
Uber,4.0,"San Francisco, CA",153.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Rivian Automotive,4.3,"Palo Alto, CA",140.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
UC San Francisco Academic,4.2,"San Francisco, CA",128.0,Full-time,10000+ employees,college / university,education,$25 to $50 million (usd)
Kaiser Permanente,4.0,"Oakland, CA",100.0,Full-time,10000+ employees,nonprofit organization,health care,$10+ billion (usd)
Walmart,3.4,"Sunnyvale, CA",127.0,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
Course Hero,4.8,"Redwood City, CA",150.0,Full-time,51 to 200 employees,company - private,education,unknown / non-applicable
Heluna Health,3.4,"San Francisco, CA",84.5,Full-time,1001 to 5000 employees,nonprofit organization,non-profit,$50 to $100 million (usd)
PayJoy,4.6,"San Francisco, CA",155.0,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
"Bio-Rad Laboratories, Inc.",3.5,"Pleasanton, CA",123.5,Full-time,5001 to 10000 employees,company - public,biotech & pharmaceuticals,$2 to $5 billion (usd)
Blue Owl,4.8,"San Francisco, CA",150.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable
Indeed,4.3,"Sunnyvale, CA",154.0,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd)
Parker Institute for Cancer Immunotherapy,3.7,"San Francisco, CA",153.5,Full-time,51 to 200 employees,nonprofit organization,non-profit,unknown / non-applicable
Bayer,4.2,"Berkeley, CA",122.0,Full-time,10000+ employees,company - private,biotech & pharmaceuticals,$10+ billion (usd)
Roche,4.3,"Santa Clara, CA",135.0,Full-time,5001 to 10000 employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
"TuSimple, Inc.",4.4,"San Francisco, CA",167.0,Full-time,201 to 500 employees,company - public,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",150.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Facebook,4.3,"Menlo Park, CA",156.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Xerox,3.3,"Palo Alto, CA",119.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Blue Owl,4.8,"San Francisco, CA",150.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable
Levi Strauss,4.1,"San Francisco, CA",129.5,Part-time,10000+ employees,company - public,retail,$2 to $5 billion (usd)
Kaiser Permanente,4.0,"Pleasanton, CA",153.0,Full-time,10000+ employees,nonprofit organization,health care,$10+ billion (usd)
Salesforce,4.5,"San Francisco, CA",155.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Ursus,4.4,"Menlo Park, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
GSK,3.8,"San Francisco, CA",129.0,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Plus,5.0,"Cupertino, CA",125.0,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable
Amazon,3.8,"Palo Alto, CA",149.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Workday,4.3,"Pleasanton, CA",148.0,Full-time,10000+ employees,company - public,information technology,$2 to $5 billion (usd)
University of California San Francisco,4.2,"San Francisco, CA",113.5,Full-time,10000+ employees,college / university,education,$25 to $50 million (usd)
Riiid Labs,5.0,"San Ramon, CA",138.5,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Adobe,4.4,"San Jose, CA",194.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
CriticalRiver Technologies Inc.,4.6,"San Francisco, CA",91.5,Full-time,201 to 500 employees,company - private,information technology,$10 to $25 million (usd)
Blue Owl,4.8,"San Francisco, CA",150.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable
Spartan Technologies,3.0,"San Francisco, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,$5 to $10 million (usd)
Facebook,4.3,"Menlo Park, CA",156.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
TikTok,3.8,"Mountain View, CA",143.0,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Tapjoy,3.6,"San Francisco, CA",111.0,Full-time,201 to 500 employees,company - private,information technology,$10 to $25 million (usd)
Robinhood,4.4,"Menlo Park, CA",139.0,Full-time,501 to 1000 employees,company - private,finance,unknown / non-applicable
University of California Santa Cruz,4.1,"Scotts Valley, CA",81.0,Full-time,1001 to 5000 employees,college / university,education,$100 to $500 million (usd)
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Accenture,4.0,"San Francisco, CA",109.0,Full-time,10000+ employees,company - public,business services,$10+ billion (usd)
Pendulum.co,4.3,"San Francisco, CA",137.5,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Sitecore,3.7,"San Francisco, CA",133.0,Full-time,501 to 1000 employees,company - private,information technology,$50 to $100 million (usd)
Cloudflare,4.1,"San Francisco, CA",148.0,Full-time,501 to 1000 employees,company - public,information technology,unknown / non-applicable
JD.com,3.6,"Mountain View, CA",119.5,Full-time,5001 to 10000 employees,company - public,retail,unknown / non-applicable
Uber,4.0,"San Francisco, CA",170.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Allscripts,3.7,"San Francisco, CA",165.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
Sisu,4.1,"San Francisco, CA",146.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
RELX Group,3.1,"San Jose, CA",125.0,Full-time,1001 to 5000 employees,subsidiary or business segment,business services,$1 to $2 billion (usd)
Adobe,4.4,"San Jose, CA",144.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
Sisu,4.1,"San Francisco, CA",146.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
AlignTech,4.4,"San Jose, CA",130.0,Full-time,10000+ employees,company - public,manufacturing,$1 to $2 billion (usd)
RELX Group,3.1,"San Jose, CA",125.0,Full-time,1001 to 5000 employees,subsidiary or business segment,business services,$1 to $2 billion (usd)
Splunk,4.2,"San Francisco, CA",165.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
Fremont Bank,3.0,"Livermore, CA",91.5,Full-time,501 to 1000 employees,company - private,finance,$1 to $2 billion (usd)
PAX Labs,2.8,"San Francisco, CA",108.5,Full-time,201 to 500 employees,company - private,information technology,$50 to $100 million (usd)
Blue Shield of California,4.4,"Oakland, CA",109.0,Full-time,5001 to 10000 employees,nonprofit organization,insurance,$10+ billion (usd)
Kodiak Robotics,4.5,"Mountain View, CA",187.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Goodway Group,4.5,"San Francisco, CA",86.0,Full-time,201 to 500 employees,company - private,business services,unknown / non-applicable
Health at Scale Corporation,4.1,"San Jose, CA",134.0,Full-time,1 to 50 employees,company - public,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",155.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
HopHR,4.1,"San Francisco, CA",157.5,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
NextGen America,3.7,"San Francisco, CA",123.5,Full-time,51 to 200 employees,nonprofit organization,non-profit,unknown / non-applicable
Uber,4.0,"San Francisco, CA",170.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Afterpay Touch,3.7,"San Francisco, CA",136.0,Full-time,501 to 1000 employees,company - public,information technology,$5 to $10 billion (usd)
First Republic Bank,4.3,"San Francisco, CA",112.5,Full-time,1001 to 5000 employees,company - public,finance,$10+ billion (usd)
California State University,4.3,"San Francisco, CA",81.0,Full-time,201 to 500 employees,college / university,education,$1 to $5 million (usd)
Williams Sonoma,3.1,"San Francisco, CA",84.0,Full-time,10000+ employees,company - public,retail,$5 to $10 billion (usd)
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Notion,4.8,"San Francisco, CA",144.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Adobe,4.4,"San Jose, CA",144.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
Sisu,4.1,"San Francisco, CA",146.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
AlignTech,4.4,"San Jose, CA",130.0,Full-time,10000+ employees,company - public,manufacturing,$1 to $2 billion (usd)
RELX Group,3.1,"San Jose, CA",125.0,Full-time,1001 to 5000 employees,subsidiary or business segment,business services,$1 to $2 billion (usd)
Splunk,4.2,"San Francisco, CA",165.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
Fremont Bank,3.0,"Livermore, CA",91.5,Full-time,501 to 1000 employees,company - private,finance,$1 to $2 billion (usd)
PAX Labs,2.8,"San Francisco, CA",108.5,Full-time,201 to 500 employees,company - private,information technology,$50 to $100 million (usd)
Blue Shield of California,4.4,"Oakland, CA",109.0,Full-time,5001 to 10000 employees,nonprofit organization,insurance,$10+ billion (usd)
Kodiak Robotics,4.5,"Mountain View, CA",187.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Goodway Group,4.5,"San Francisco, CA",86.0,Full-time,201 to 500 employees,company - private,business services,unknown / non-applicable
Health at Scale Corporation,4.1,"San Jose, CA",134.0,Full-time,1 to 50 employees,company - public,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",155.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
HopHR,4.1,"San Francisco, CA",157.5,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
NextGen America,3.7,"San Francisco, CA",123.5,Full-time,51 to 200 employees,nonprofit organization,non-profit,unknown / non-applicable
Uber,4.0,"San Francisco, CA",170.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Afterpay Touch,3.7,"San Francisco, CA",136.0,Full-time,501 to 1000 employees,company - public,information technology,$5 to $10 billion (usd)
First Republic Bank,4.3,"San Francisco, CA",112.5,Full-time,1001 to 5000 employees,company - public,finance,$10+ billion (usd)
California State University,4.3,"San Francisco, CA",81.0,Full-time,201 to 500 employees,college / university,education,$1 to $5 million (usd)
Williams Sonoma,3.1,"San Francisco, CA",84.0,Full-time,10000+ employees,company - public,retail,$5 to $10 billion (usd)
Facebook,4.3,"Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Notion,4.8,"San Francisco, CA",144.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Roche,4.3,"Santa Clara, CA",153.0,Full-time,5001 to 10000 employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Metromile,4.3,"San Francisco, CA",146.0,Full-time,201 to 500 employees,company - public,insurance,unknown / non-applicable
"Personalis, Inc",3.9,"Menlo Park, CA",118.5,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd)
LGC Limited,3.5,"Petaluma, CA",124.5,Full-time,1001 to 5000 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
LGC Limited,3.5,"Petaluma, CA",63.0,Full-time,1001 to 5000 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
MarinHealth Medical Center,3.4,"Greenbrae, CA",87.5,Full-time,1001 to 5000 employees,hospital,health care,$100 to $500 million (usd)
AMPAC Fine Chemicals,3.1,"Rancho Cordova, CA",84.0,Full-time,501 to 1000 employees,subsidiary or business segment,biotech & pharmaceuticals,$100 to $500 million (usd)
Adventist Health,3.6,"Saint Helena, CA",85.0,Full-time,10000+ employees,nonprofit organization,health care,unknown / non-applicable
Oak Valley Hospital District,3.3,"Oakdale, CA",24.5,Part-time,201 to 500 employees,hospital,health care,$50 to $100 million (usd)
Adventist Health,3.6,"Clearlake, CA",79.5,Full-time,10000+ employees,nonprofit organization,health care,unknown / non-applicable
Oak Valley Hospital District,3.3,"Oakdale, CA",27.5,Full-time,201 to 500 employees,hospital,health care,$50 to $100 million (usd)
Lucid Motors,4.1,"Newark, CA",112.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
23andMe,4.1,"South San Francisco, CA",157.5,Full-time,501 to 1000 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Lucid Motors,4.1,"Newark, CA",189.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
