company,rating,job title,headquarters,salary estimate,job type,size,type,sector,revenue,job description
The Mom Project,4.8,Finance Data Analyst,"San Francisco, CA",92.0,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable,"Founded in 2008, our Customer represents a global travel community that offers magical end-to-end trips, including where you stay, what you do, and the people you meet. They exist to create a world where anyone can belong anywhere, providing healthy travel that is local, authentic, diverse, inclusive, and sustainable. Their website and app uniquely leverage technology to economically empower millions of people around the world to unlock and monetize their spaces, passions, and talents to become hospitality entrepreneurs.

We are seeking a Finance Data Analyst on a contract basis to support our client’s day-to-day business needs. The Finance Data Analyst will be responsible for build metrics, analytics, and reporting, supporting the Insurance Solutions group. The analyst will support analytical needs within the insurance solutions group on a number of insurance products that the company provides to the guest and host –the company’s Host Protection Program, Liability Insurance, and any new insurance product launch. The analyst will have broad exposure to various functions at the company, including Platform Finance, Finance Engineering, Product, and Operations groups. The analyst will leverage a suite of in-house and industry-standard BI tools to deliver analytics solutions to support a rapidly growing insurance business within the company.

The ideal candidate for this position will have a passion for data, strong technical skills in SQL or similar querying language, experience with data visualization software, strong experience with complex data ecosystems and high-volume data warehouses. The candidate must have strong communication skills to present analytical findings and research to key stakeholders and business partners. This position reports to the Principal, Insurance Data Analytics






M-F, 40 hours/week. This role will be remote while Covid restrictions are in place. The expectation is to be onsite at the San Francisco, CA location once it is deemed safe to do so.

Perks are available through our 3rd Party Employer of Record
Medical, Dental, Vision, 401k, FSA, Commuter Benefit Program"
VMware,4.3,"Data Scientist, Customer Intelligence - Opportunity for Working Remotely San Francisco, CA","San Francisco, CA",141.5,Part-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd),"Job Description
At VMware, we are preparing for the transformation of VMware to an even more customer-centric, cloud-ready company, which has resulted in a newly created and unified Customer Experience and Success Team. This has been as a result of many months of talking to our customers, as well as studying best practices in the software industry. This new organization will help to take VMware to the next level of customer satisfaction and success. This newly formed group has brought together various key functions and roles that are crucial to our customer experience. This includes Customer Success, Global Services, Technical Support, Premier Support, Technical Account Management and Professional Services.
Our goal is to create an integrated and agile team that can deliver a best-in-class customer experience at scale, across our five solution areas. We lead with putting the customer at the center of everything we do. This new organization will be better positioned to transition to proactively and prescriptively guide our customers to value realization outcomes. We will do so through designed and reconciled winning customer experiences. Our team will lead the way servicing our customers programmatically and help scale customer success to do the same. Furthermore, we expect this team and with laser-focus commitment to our customers to help accelerate VMware’s evolution to a software-as-a-service company and significantly raise VMware’s Net Promoter Score (NPS).








VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law."
Facebook,4.3,"Data Scientist, Analytics - Business Messaging Experience","Menlo Park, CA",156.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd),"The Messenger Business team's mission is to become the primary communication channel between people and businesses. The team works on business messaging experiences across Facebook, Messenger, and Instagram and drives outsized impact on revenue and business communication by enabling businesses to establish a more personal and high fidelity communication channel with customers to address their needs and improve customer satisfaction. We are looking for an experienced Data Scientist who will work across Messenger and Instagram Direct business messaging. You will shape product strategy spanning across teams, interfaces, and use cases through a deeper understanding of the business messaging ecosystem. You will provide guidance and mentorship to other Data Scientists and uplevel those around you. You will define and answer the most critical and complex questions that accelerate the adoption of business messaging around the world.
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches"
Course Hero,4.8,Senior Data Scientist,"Redwood City, CA",150.0,Full-time,51 to 200 employees,company - private,education,unknown / non-applicable,"Course Hero is scaling! We are looking for an experienced Senior Data Scientist to join our Data Science and Analytics team. In this role, you will work with big data sets, using deep statistical models, to drive actionable insights and tackle high impact business problems. You will be telling the story behind your insights -- painting a picture to our functional partners, explaining what the numbers are telling us, and recommending product changes, new features, and A/B tests for implementation. As a guideline, you may expect to spend 80% of your time individually driving analyses and insights, and 20% mentoring other data scientists.

The analytics team at Course Hero is central to our functional organization, and heavily influences the strategy and tactics of our company's roadmap. The analytics team is rapidly growing in order to generate more and more analytical insights to fuel Course Hero's growth while giving directions to our product strategy. We are also constantly improving and innovating ways that Course Hero can use data to drive growth and strategic initiatives.

The charter for the Data Science and Analytics team at Course Hero is to focus on supporting the business and product teams with planning, tracking, measuring and enabling data-driven insights to support key decisions. The team will be building models and narratives around student and educator journeys, marginal value and utility, customer and asset lifetime value, inferred intent, behaviors, usage, trends, and economic demand curves powering content recommendations, pricing and other applied data science initiatives. This is a technically-engaged, high-visibility position leading analytics for varied stakeholders across business, operations, products, marketing and engineering."
Facebook,4.3,"Data Scientist, Analytics - Jobs Integrity on Marketplace","Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd),"Commerce is one of the biggest focus areas for Facebook in the coming decade, and Marketplace already has hundreds of millions of users. The Jobs product has helped over 5 million people get a job, and we’re just getting started. We have an ambitious 3-year vision to become the number one job board in the world. The mission of Jobs Integrity is to protect users and our platform from scams and offline harm caused by bad actors who violate our standards and policies. There is broad cross-functional collaboration between Data Science and Engineering, Product Management, Operations, Data Engineering, Analysts, and more. Data Science plays a key role in driving both tactical and strategic decisions within the team since data-driven understanding is critical to achieving success in this complex and dynamic space. We employ sophisticated machine learning models to catch fraud and malicious platform behavior at scale, so you’ll also work with the ML engineers on the team to support their approaches and experiments.This role focuses on 4 key areas:Product success measurement: what goals should we set? What moves our core metrics and why? What proxy metrics can help us make faster progress with directional validity and superior coverage & latency? How can we design experiments to test complex and non-UI changes?Harm prioritization: where should we be investing to protect good users? How much improvement could we make via automated and manual defense systems? System maturity: how can we reduce the time from new exploits to remediation? What foundational investments will help us scale faster with higher quality? Which guardrails are most important?Unbiased estimation of sparse signals: with measurements of rare events, how can we keep track of what’s happening even when we only have partially observed data?You are a fit if you: Enjoy stopping bad actors to protect good users, enjoy holistic thinking through tradeoffs and optimization, are energized by product iterations through pattern surfacing, hypothesis testing, and deep behavioral analytics, enjoy driving and influencing product roadmaps with your cross functional partners and readily perceive, and seize opportunities in complex or ambiguous areas."
Parker Institute for Cancer Immunotherapy,3.7,Senior Data Scientist,"San Francisco, CA",153.5,Full-time,51 to 200 employees,nonprofit organization,non-profit,unknown / non-applicable,"About Us
The Parker Institute for Cancer Immunotherapy (PICI) is radically changing the way cancer research is done. Founded in 2016 through a $250 million gift from Silicon Valley entrepreneur and philanthropist Sean Parker, the San Francisco-based nonprofit is an unprecedented collaboration between the country’s leading immunotherapy researchers and cancer centers, including Memorial Sloan Kettering Cancer Center, Stanford Medicine, the University of California, Los Angeles, the University of California, San Francisco, the University of Pennsylvania and The University of Texas MD Anderson Cancer Center. The institute also supports top researchers at other institutions, including City of Hope, Dana-Farber Cancer Institute, Fred Hutchinson Cancer Research Center, Icahn School of Medicine at Mount Sinai, Institute for Systems Biology and Washington University School of Medicine in St. Louis.
By forging alliances with academic, industry and nonprofit partners, PICI makes big bets on bold research to fulfill its mission: to accelerate the development of breakthrough immune therapies to turn all cancers into curable diseases."
"TuSimple, Inc.",4.4,ML Platform - Machine Learning Engineer,"San Francisco, CA",167.0,Full-time,201 to 500 employees,company - public,information technology,unknown / non-applicable,"This opportunity is located in San Diego, CA. Remote friendly during COVID-19

You can apply to the job with this email address: algo__data_science_engineer_4d21f8772us@ivy.greenhouse.io

Opportunity Overview
Build systems that evaluate the performance of every part of the self-driving stack
Help set the direction for the entire company in a data-driven way
Responsibilities
Work with massive datasets on data association, clustering, segmentation, filtering, machine learning, feature engineering, and inference
Establish effective benchmarking pipelines to evaluate self-driving system in complex and nuanced situations
TuSimple is an Equal Opportunity Employer. This company does not discriminate in employment and personnel practices on the basis of race, sex, age, handicap, religion, national origin, or any other basis prohibited by applicable law. Hiring, transferring and promotion practices are performed without regard to the above-listed items.



You can apply to the job with this email address: algo__data_science_engineer_4d21f8772us@ivy.greenhouse.io"
Secureworks,4.2,"Senior Data Scientist - Secureworks - Atlanta, GA or Remote","San Francisco, CA",144.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd),"Senior Data Scientist
Secureworks® (NASDAQ: SCWX) a global cybersecurity leader, enables our customers and partners to outpace and outmaneuver adversaries with more precision, so they can rapidly adapt and respond to market forces to meet their business needs. With a unique combination of cloud-native, SaaS security platform and intelligence-driven security solutions, informed by 20+ years of threat intelligence and research, no other security platform is grounded and informed with this much real-world experience. www.secureworks.com
We enjoy competitive compensation and benefits packages, and reward and recognize our employees for exceptional results. A constant focus on continued learning and growth keeps our team members engaged and excited about “what’s next.” We offer flexible work options when available, and emphasize the importance of work-life balance. We know that when our people are rewarded, recognized, and rejuvenated, we win as a team.
Role Overview"
Xerox,3.3,Research Scientist Data Analytics,"Palo Alto, CA",119.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd),"City: Palo Alto
State/Province: California
Country: United States
Department: Research & Development
Date: Friday, March 12, 2021
Working time: Full-time
Ref#: 20010725
Job Level: Individual Contributor"
Ursus,4.4,People Core Data Scientist - Digital Experience,"Menlo Park, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable,"Job Title: People Core Data Scientist - Digital Experience
Location: Menlo Park, CA
Duration: 6 Months

RESPONSIBILITIES
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our employees interact with our internal products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities Inform, influence, support, and execute our product decisions and product launches

The Data Scientist Analytics role has work across the following four areas:
Product Operation: forecasting and setting product team goals, designing and evaluating experiments, monitoring key product metrics, understanding root causes of changes in metrics, building and analyzing dashboards and reports, building key data sets to empower operational and exploratory analysis, evaluating and defining metrics









IND123"
Levi Strauss & Co.,4.1,Machine Learning Engineer - Quality Assurance,"San Francisco, CA",129.5,Part-time,10000+ employees,company - public,retail,$2 to $5 billion (usd),"JOB DESCRIPTION
We are taking one of the world’s most iconic brands into the next century:
Be a pioneer in the fashion industry by joining our global Data, Analytics & AI “startup with assets,” where you will have the chance to build exciting solutions to help our Americas business and at the same time be part of a bigger, across-continents, data community.
As a Machine Learning Engineer, you will work with the Product Management, Data scientist and ML Engineers to understand the ML algorithm requirements. You will develop ML test strategies defining quality assurance standards. The successful candidate is passionate about quality improvement in ML field; they are experienced at creating excellent automation for feature testing and regression for different ML models. You will report to the Director of AI & ML Production Operations.


San Francisco, CA, USA
Full time"
Kaiser Permanente,4.0,Data Specialist - Machine Learning,"Pleasanton, CA",153.0,Full-time,10000+ employees,nonprofit organization,health care,$10+ billion (usd),"Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse 'big data' sources to generate actionable insights and solutions for clinical and non-clinical operations enhancements. Interacts with mission-based teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies, interprets and communicates meaningful insights from analysis and experiments to managers.

Essential Responsibilities:
Design, develop, and evaluate state-of-the-art machine learning models for complex, large-scale data sets.
Optimize machine learning models to scale in real-time streaming applications.
Advanced experience with time series analysis, discrete data modeling and feature engineering.





PrimaryLocation :
HoursPerWeek : 40
Shift :
Workdays : Mon-Fri
WorkingHoursStart :
WorkingHoursEnd :
Job Schedule :
Job Type : Standard
Employee Status : Regular
Employee Group/Union Affiliation : NUE-CO-02|NUE|Non Union Employee
Job Level : Individual Contributor
Job Category : Consulting Services & Project/Program Management (Non-IT)
Department :
Travel : No"
Samsung Electronics America,3.5,"Data Scientist/Analyst - Product Data, Analytics and Reporting","Mountain View, CA",133.0,Full-time,1001 to 5000 employees,subsidiary or business segment,information technology,$10+ billion (usd),"Position Summary
Data Scientist/Analyst


Technical professionals are defined by what they create. Samsung has the risk-taking corporate culture, strategic R&D investments, and global know-how to imagine, develop, and market products that lead the industry. Samsung’s Product Data, Advanced Analytics and Reporting team, located in Mountain View, California, is currently recruiting world-class data scientists and analysts who share our “Innovation through passion” philosophy and thrive in a fast-paced, results-driven environment. The candidate will be a part of an innovative, data-driven approach to user experience design that will drive improvements in the architecture, usability, and design of Samsung software and products, as well as content planning and curation, and marketing driven impact and effectiveness on product. Ready to re-imagine yourself? Imagine who you can become at Samsung.

We are looking for a Product, Content and UX Data Scientist/Analyst who is passionate about delivering leading-edge interactive entertainment experiences on TV and in-home consumer electronics to join our Product Data, Analytics and Reporting team. Data Scientists/Analysts plan, design, and execute end-to-end product data modeling, analytics and reporting agendas for products from concept generation through product release and ongoing development, outlining the data requirements and specs, data integrity, metrics definitions and reporting needs for individual products. The ideal candidate will have a proven track record generating product, content and user insights, translating insights into feature and product requirements, conducting rigorous evaluations and analysis, and communicating findings to stakeholders. You would analyze large-scale event-based usage data from our consumer products in customer’s homes. You will work with Product Managers, UX Designers, Marketers, Business Development and Content Curators to understand user, content and UX needs, requests and insights to drive product, UX, content, and marketing insights and innovation. You will also work with qualitative user experience researchers to maintain a complete picture of how our consumer products are used. You would also conduct large scale A/B testing with our products to compare alternative user experience designs on product usage. In this position, you would work effectively with designers, program managers, business development, content curators and hardware and software engineers in a highly collaborative environment. This position demands an individual that is organized, detail-oriented, and results-driven. Strategic thinking and creativity are critical attributes. Highly polished visual and verbal presentation skills are a must.

Apply Now"
UC San Francisco Academic,4.2,Data Science Research Specialist,"San Francisco, CA",77.5,Full-time,10000+ employees,college / university,education,$25 to $50 million (usd),"Application Window
Open date: May 19th, 2021
Next review date: Thursday, Jun 3, 2021 at 11:59pm (Pacific Time)
Apply by this date to ensure full consideration by the committee.
Final date: Saturday, Nov 19, 2022 at 11:59pm (Pacific Time)
Applications will continue to be accepted until this date, but those received after the review date will only be considered if the position has not yet been filled.
Position description
A data science research specialist opportunity is available at the University of California, San Francisco in the Department of Radiation Oncology."
Punchh,4.1,Machine Learning Scientist,"San Mateo, CA",151.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable,"Punchh is the leader in customer loyalty, offer management, and AI solutions for offline and omni-channel merchants including restaurants, convenience stores, and retailers. Punchh brings the power of online to physical brands by delivering omni-channel experiences and personalization across the entire customer journey--from acquisition through loyalty and growth--to drive same store sales and customer lifetime value. Punchh uses best-in-class integrations to POS and other in-store systems such as WiFi, to deliver real-time SKU-level transaction visibility and offer provisioning for physical stores.

Punchh is growing exponentially, serves 200+ brands that encompass 91K+ stores globally. Punchh's customers include the top convenience stores such as Casey's General Stores, 25+ of the top 100 restaurant brands such as Papa John's, Little Caesars, Denny's, Focus Brands (5 of 7 brands), and Yum! Brands (KFC, Pizza Hut, and Taco Bell), and retailers. For a multi-billion $ brand with 6K+ stores, Punchh drove a 3% lift in same-store sales within the first year. Punchh is powering loyalty programs for 135+ million consumers.

Punchh has raised $70 million from premier Silicon Valley investors including Sapphire Ventures and Adam Street Partners, has a seasoned leadership team with extensive experience in digital, marketing, CRM, and AI technologies as well as deep restaurant and retail industry expertise.



Punchh is seeking a full-time Machine Learning Scientist who will work with the Product and UX Research team to support Punchh's AI product initiative. You will draw upon your machine learning, quantitative research, and statistical skills and contribute to the understanding and demo of key AI product features such as customer loyalty campaign recommendation and Personalization. You will experience first-hand how our Machine Learning team transforms ideas into AI products for our customers."
Blue Owl,4.8,Senior Data Scientist - Call Center Optimization,"San Francisco, CA",150.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable,"Our Mission:

We’re here to create a safer, happier and more mindful future for all with the help of data science, engineering, design, and mobile technology. We're starting by reinventing insurance, by rethinking the technologies that enable it, but our true goal is to build a platform that rewards people for driving well — creating safer roads with fewer accidents in the process.

Backed by impressive funding, we're poised to re-engineer a trillion-dollar category. We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution. We're out to change behavior and promote mindful living.
Minimum Qualifications
3+ years of demonstrable expertise building and supporting machine learning models deployed to production"
Adobe,4.4,"Data Scientist/Senior Product Analyst, Experimentation","San Jose, CA",194.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd),"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!"
Walmart,3.4,(USA) Staff Data Scientist - Marketing Decision Sciences,"Sunnyvale, CA",146.5,Full-time,10000+ employees,company - public,retail,$10+ billion (usd),"Position Summary...
What you'll do...
What you'll do...
The Marketing Decision Science team focuses on developing data-driven models and services to bringing high-quality demand from offsite digital sites to Walmart E-Commerce sites at low cost in order to sustain and accelerate the growth of Walmart E-Commerce and ultimately cultivate a large loyal base of omni-channel customers who view Wal-Mart as their top choice of retail shopping.
We are a highly motivated group of Big Data Geeks, Machine Learning Scientists, and Applications Engineers, working in a small agile group to solve sophisticated and high-impact problems. We are building smart data systems that ingest, model, and analyze massive flow of data from online and offline user activity. We use cutting-edge machine learning, data mining, and optimization algorithms on marketing campaign optimization.
Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 4 years' experience in an analytics related field. Option 2: Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 2 years' experience in an analytics related field. Option 3: 6 years' experience in an analytics or related field.
Data science, machine learning, optimization models, PhD in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)
600 WEST CALIFORNIA AVENUE, SUNNYVALE, CA 94086-2486, United States of America"
Sisu,4.1,Machine Learning Engineer,"San Francisco, CA",146.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable,"At Sisu, we're building a software platform that empowers people to make better decisions using data. Based on years of cutting-edge research at Stanford, Sisu enables users to quickly and comprehensively understand what’s driving their key metrics, so they never miss a window of opportunity to act.

Sisu leverages the massive amounts of data available within private, first-party data warehouses, which capture a real-time, structured view of organizational behavior. By monitoring the performance of key metrics like revenue, retention, and churn, and their relationships to interactions between key factors like user demographics, campaigns, and acquisition channels, we can help users make better decisions. The key problem Sisu solves is to help identify what’s driving change among this enormous feature and hypothesis space. To do so, we combine statistical analysis and machine learning at scale to provide users personalized, real-time diagnoses of changes in their metrics via an explainable, interpretable user interface.

As a machine learning engineer, you’ll have the opportunity to shape the future of machine learning on massive, structured data. Much like public search engines rely on sophisticated models for ranking and relevance over unstructured text, machine learning is integral to Sisu’s value proposition of ranking and highlighting key drivers behind metrics derived from structured data. These results inform our users on how to take action as their businesses are changing."
Kodiak Robotics,4.5,Machine Learning Engineer,"Mountain View, CA",187.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable,"Kodiak was founded in April 2018 to develop autonomous technology that carries freight forward—so people, partners, and the planet thrive. Navigating highway environments presents vastly different challenges than urban streets. Kodiak’s experienced team has developed the industry’s most advanced technology stack purpose-built specifically for long-haul trucks. From our sensor fusion system that maximizes the value of every sensing modality, to our unique lightweight mapping solution that allows our trucks to navigate ever-changing highway construction zones, our world-class team of industry pioneers is bringing the benefits of autonomy to the $800B a year trucking industry quickly, safely, and efficiently.

We are looking for a highly skilled machine learning engineer to join us and solve real-world robotics problems.
In this role, you will:
Be responsible for designing machine learning algorithms and implementing them in robust, efficient, and well-tested C++ and/or Python code."
Health at Scale Corporation,4.1,Machine Learning Scientist,"San Jose, CA",134.0,Full-time,1 to 50 employees,company - public,information technology,unknown / non-applicable,"HEALTH[at]SCALE is a rapidly growing post-Series A healthcare machine intelligence startup founded by machine learning and clinical faculty with strong ties to MIT, Stanford, Harvard and U-Michigan. The company has been recognized for its efforts by Forbes, Becker’s, UCSF Digital Health Awards, Bloomberg, TechCrunch and MIT News. Our mission is to bring precision delivery to healthcare through cutting-edge machine learning and artificial intelligence that can predictively match the world's patients to the right treatments by the right providers at the right times. HEALTH[at]SCALE's machine intelligence platform and applications for care prediction are among the largest deployments to date of machine learning technologies for healthcare; helping leading organizations manage tens of millions of individuals in live production use. The company's software solutions service a broad range of use cases for managed care, accountable care and self-insured organizations, including: early targeted prediction and prevention of adverse outcomes, optimizing care planning and guiding effective treatment; refining and navigating provider networks; and reducing fraud, waste and abuse. For more information, please visit our website.

Responsibilities




HEALTH[at]SCALE offers competitive salary, stock options, 401k, high-quality health benefits (medical, dental and vision), parental leave benefits and flexible work hours. We are an equal opportunity employer and are committed to diversity in our hiring and business practices.

To all recruitment agencies: HEALTH[at]SCALE does not accept agency resumes. Please do not forward resumes to our jobs alias, HEALTH[at]SCALE employees or any organization location. HEALTH[at]SCALE is not responsible for any fees related to unsolicited resumes."
Capgemini,3.8,Data Scientist - San Francisco - Experienced only,"San Francisco, CA",111.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd),"Data Scientist - San Francisco - Experienced only
053312

The AI & Analytics practice group at Capgemini is expanding its footprint rapidly. As part of the fastest growing digital practice within Capgemini, we work with the latest advanced analytics, machine learning, and big data technologies to extract meaning and value from data in a number of different industries, including Media & Entertainment, High Tech, Automotive, Consumer Products & Retail, Industrial Products, Manufacturing, Telecom, Aerospace & Defense, and Energy & Utilities.
The AI & Analytics group is the fastest growing digital practice at Capgemini demanding agile innovation. As part of the AI & Analytics group, you will work in a collaborative environment with internal and client resources to understand key business goals, build solutions, and present findings to client executives while solving real-world problems. If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical understanding, and technical know-how, the AI & Analytics practice group at Capgemini is the best place to grow your career

Work in a collaborative environment with global teams to drive client engagements in a broad range of industries to design and build scalable AI and Machine Learning solutions to solve business problems and create value by leveraging client data"
HopHR,4.1,Sr Data Scientist | CA - San Francisco,"San Francisco, CA",157.5,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable,"POSITION SUMMARY:

Leads and participates in the development, validation, and delivery of algorithms, statistical models, and reporting tools. Solves complex analytical problems.

Develops and/or uses algorithms and statistical predictive models and determines analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes. Performs analyses of structured and unstructured data to solve multiple and/or complex business problems utilizing advanced statistical techniques and mathematical analyses and broad knowledge of the organization and/or industry. Collaborates with business partners to understand their problems and goals, develop predictive modeling, statistical analysis, data reports, and performance metrics. Develops and participates in presentations and consultations to existing and prospective constituents on analytics results and solutions. Interacts with internal and external peers and managers to exchange complex information related to areas of specialization. Use strong knowledge in algorithms and predictive models to investigate problems, detect patterns and recommend solutions. Use strong programming skills to explore, examine and interpret large volumes of data in various forms."
Facebook,4.3,"Data Scientist, Product - Ads Experimentation & Measurement","Menlo Park, CA",155.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd),"Ads Experimentation has a mission to maximise the value of all decisions impacting Facebook’s monetization efforts such as Shops and ads delivered to 1.5+ billion people every day. We develop cutting-edge online and offline experimentation methods and tools so the thousands of decisions made by Facebook monetization teams are driven by precise and efficient measurement.We are looking for a Data Scientist with deep expertise in experimentation and causal inference, and who can partner with Engineering to drive company-level impact by solving new and complex industry problems.
Contribute to long-term technical vision and strategy methods and metrics that will improve the quality and efficiency of decision-making at scale and in the face of changing data availability
Develop understanding of complex experimentation and measurement system, as well as broader industry challenges, to identify present and future risks and opportunities
Leverage experiment usage data to prioritize areas of investment, anticipate experimenter needs, and assess novel solutions"
Facebook,4.3,"Data Scientist, Product Analytics – Facebook Ecosystems","Menlo Park, CA",164.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd),"The Facebook Ecosystems team’s mission is to evolve and support Facebook’s strategy. We work directly with leadership and horizontally with data science teams that are embedded throughout Facebook. This includes building foundational understanding of how the Facebook ecosystem and the different pieces come together, identifying the right health metrics to evaluate ecosystem health, and constantly challenging our current understanding. Some projects include quantifying the incremental value of the various Facebook services and understanding the effects of increasing friend connections. We are looking for a Data Scientist who can see the big picture, identify pivotal questions, work closely with leadership, and lead data scientists around the company to help steer the Facebook strategy.
Identify and quantify strengths and weaknesses in the Facebook ecosystem
Leverage data and work closely with leadership to challenge and evolve the Facebook strategy
Collaborate with data scientists and product teams across the company to drive foundational understanding of the Facebook ecosystem"
Hearth,2.9,Data Analyst,"San Francisco, CA",84.0,Full-time,1 to 50 employees,company - public,"construction, repair & maintenance",less than $1 million (usd),"About Hearth
Hearth is a Fintech company helping home improvement contractors grow and manage their business. Our SaaS platform - Hearth (www.gethearth.com) - provides over 10,000 contractors the financial tools they need to close more business, including financing solutions, invoicing, payment collections, insurance products, all in one, modern system designed specifically for the home improvement industry.

Backed by 8VC, Founders Fund, and other prominent leaders in Silicon Valley, Hearth has raised over $50M and is one of the fastest growing companies in the home improvement space.
About the Role
Data is key to Hearth for informing product decisions, optimizing operations and guiding company strategy. This team member will partner closely with our Data Scientist and have opportunities to work on high impact projects that span across many departments. As one of the first Data Analysts to the Data team, you will help define key business, performance metrics and own areas of data including operational and product analytics."
Workday,4.3,Spend Management Machine Learning Solution Architect / Data Scientist,"San Francisco, CA",146.5,Full-time,10000+ employees,company - public,information technology,$2 to $5 billion (usd),"Do what you love. Love what you do.

At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work.
Job Description
Join our team and experience Workday! It’s fun to work in a company where people truly believe in what they’re doing. At Workday we’re committed to bring passion and customer focus to the business of enterprise applications. We work hard, and we’re serious about what we do. But we like to have a good time, too. In fact, we run our company with that idea in mind every day: One of our core values is fun."
Thermo Fisher Scientific,3.8,"Bioinformatics, Data Scientist","South San Francisco, CA",112.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd),"Job Title – Bioinformatics, Data Scientist
Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them
Location - US-South San Francisco OR Pleasanton, CA
How will you make an impact?"
